view_id,from,vias,to,maneuver_type,maneuver_modifier,first_lane_from_right,lanes,entry,entry_out,all_number,lat,lon,cases,city_code
4723016021_1832696257_4723007208,4723016021,1832696257,4723007208,continue,uturn,0,1,3,2,1829,1.265544,103.821441,"A-6VO8C86WWFFM,A-6VN5HIQWWH6W,A-6VM44RDGWJNX,A-6VMIVANGWF4B,A-6VLGB3JGWETN",SIN
5120433637_5120433652_5120433651,5120433637,5120433652,5120433651,continue,uturn,0,0,3,2,1646,1.350863,103.987031,"A-6VKGCENGWFF9,A-6VMG7R2GWEXC,A-6VLHSBCGWIXJ,A-6VO5KP2GWJAU,A-6VLQJI5WWG7G",SIN
5159655516_6094490307_5131977150,5159655516,6094490307,5131977150,continue,uturn,0,1,3,2,1480,1.293318,103.885199,"A-6VMASNLWWF44,A-6VM33PIGWF4B,A-6VM5G97GWJQ5,A-6VM3E2OGWIUM,A-6VMXWLCGWEVJ",SIN
4474612150_6659897746_6659897745,4474612150,6659897746,6659897745,continue,uturn,0,0,3,2,1409,1.443667,103.76969,"A-6VLT49TWWH6W,A-6VLBNRIWWEJU,A-6VMUMFIGWH22,A-6VMGOF6WWEP2,A-6VMGOF6WWEP2",SIN
3344030479_3344030474_4598923598,3344030479,3344030474,4598923598,roundabout,uturn,0,0,3,1,1192,1.27425,103.798824,"A-6VMHD7KGWIQQ,A-6VKDSKHG2JUI,A-6VKVSBXGWJFG,A-6VO8C2HGWF3C,A-6VKFMJLGWI2G",SIN
4598923601_3344030484_5230830762,4598923601,3344030484,5230830762,exit roundabout,uturn,0,0,3,2,1186,1.274333,103.798814,"A-6VM42OXWWGW5,A-6VO4O8AWWGVH,A-6VO3LNCGWFWI,A-6VM8F93GWF44,A-6VLPJULGWFQH",SIN
7262359161_6167501613_5233351964_5242103294,7262359161,"6167501613,5233351964",5242103294,continue,uturn,0,1,3,2,1140,1.284987,103.860677,"A-6VL5JCMG2G5M,A-6VOWJTXWWITM,A-6VLPGKEGWGW5,A-6VNIEPPGWHC5,A-6VMXSVVWWGJ5",SIN
3600177762_3600177761_567939730,3600177762,3600177761,567939730,exit roundabout,uturn,0,0,3,2,1113,1.346864,103.689758,"A-6VKSGM5GWJMM,A-6VKUA76G2FHJ,A-6VL22VDWWHRO,A-6VMWEJRGWG5M,A-6VLKABCWWGW5",SIN
246167525_3600177767_3600177764,246167525,3600177767,3600177764,roundabout,uturn,0,0,3,1,1108,1.346906,103.689831,"A-6VLPOROGWJGJ,A-6VN2FSWGWGOV,A-6VKUKPBWWE69,A-6VO8GGJGWGUW,A-6VKCOXDWWIWG",SIN
1275435799_1275435738_1669542488,1275435799,1275435738,1669542488,continue,uturn,0,0,3,2,1058,1.310939,103.833185,"A-6VMN6Q7WWIQQ,A-6VLH392WWEJU,A-6VN2C8DGWFGS,A-6VNDUWAGWJ2I,A-6VKTJAMWWIWG",SIN
246580897_8484242832_11379551356,246580897,8484242832,11379551356,continue,uturn,0,0,3,2,1004,1.33165,103.742411,"A-6VLB8WQGWFN5,A-6VLGR5FGWFKA,A-6VLXO3DWWIUJ,A-6VMXI48WWIAI,A-6VM8DDNGWHQW",SIN
4965221269_4965221270_10196807152,4965221269,4965221270,10196807152,continue,uturn,0,3,3,2,1003,1.34268,103.982744,"A-6VMJLW6GWHRG,A-6VLBBGAWWJDN,A-6VK8JXRGWIPC,A-6VKCT8CWWEP2,A-6VLDCT7WWG9K",SIN
5175349729_5175349731_4637466941_7530994505,5175349729,"5175349731,4637466941",7530994505,continue,uturn,0,1,3,2,975,1.264557,103.81972,"[A-6VMER22WWHKI, A-6VMER22WWHKI],A-6VMETNBWWG7G,A-6VLLQGFGWEVJ,A-6VLWVW9WWJWN,A-6VN8N27WWE88",SIN
7008983284_2750379975_7008989685,7008983284,2750379975,7008989685,continue,uturn,0,3,3,2,950,1.287796,103.846506,"A-6VM6FO5WWIPC,A-6VNEUECGWIWG,A-6VKLF7EGWEP2,A-6VM7MFDWWH6W,A-6VMX8NGWWGIN",SIN
1838411317_5150138722_10196780593,1838411317,5150138722,10196780593,continue,uturn,0,1,3,2,927,1.350197,103.985139,"A-6VNCKISGWGOV,A-6VL5UDKWWEXC,A-6VMAKOFWWEJ7,A-6VKON8JWWJMM,A-6VMNCOQGWE9D",SIN
245383652_4734390171_4734390173,245383652,4734390171,4734390173,continue,uturn,0,1,3,2,925,1.301135,103.861273,"[A-6VKCPOTGWFF9, A-6VKCPOTGWFF9],A-6VMPEDTGWIWG,A-6VMBS5MGWG5C,A-6VKQ4FWWWIQQ,A-6VL5HJLWWJV2",SIN
